 25-09-17,05:32:10,Ch1,VDIF OVL
 25-09-17,22:48:42,Ch6,T. OVER
 25-09-17,22:49:42,Ch6,T. OVER
 25-09-17,22:50:42,Ch6,T. OVER
 25-09-17,22:51:43,Ch6,T. OVER
 25-09-17,22:52:43,Ch6,T. OVER
 25-09-17,22:53:43,Ch6,T. OVER
 25-09-17,22:54:43,Ch6,T. OVER
 25-09-17,22:55:43,Ch6,T. OVER
 25-09-17,22:56:43,Ch6,T. OVER
 25-09-17,22:57:43,Ch6,T. OVER
 25-09-17,22:58:43,Ch6,T. OVER
 25-09-17,22:59:43,Ch6,T. OVER
 25-09-17,23:00:44,Ch6,T. OVER
 25-09-17,23:01:44,Ch6,T. OVER
 25-09-17,23:02:44,Ch6,T. OVER
 25-09-17,23:03:44,Ch6,T. OVER
 25-09-17,23:04:44,Ch6,T. OVER
 25-09-17,23:05:44,Ch6,T. OVER
 25-09-17,23:06:44,Ch6,T. OVER
 25-09-17,23:07:45,Ch6,T. OVER
 25-09-17,23:08:45,Ch6,T. OVER
 25-09-17,23:09:45,Ch6,T. OVER
 25-09-17,23:10:45,Ch6,T. OVER
 25-09-17,23:11:45,Ch6,T. OVER
 25-09-17,23:12:46,Ch6,T. OVER
 25-09-17,23:13:46,Ch6,T. OVER
 25-09-17,23:14:46,Ch6,T. OVER
 25-09-17,23:15:46,Ch6,T. OVER
 25-09-17,23:16:46,Ch6,T. OVER
 25-09-17,23:17:46,Ch6,T. OVER
 25-09-17,23:18:46,Ch6,T. OVER
 25-09-17,23:19:46,Ch6,T. OVER
 25-09-17,23:20:47,Ch6,T. OVER
 25-09-17,23:21:47,Ch6,T. OVER
 25-09-17,23:22:47,Ch6,T. OVER
 25-09-17,23:23:47,Ch6,T. OVER
 25-09-17,23:24:47,Ch6,T. OVER
 25-09-17,23:25:48,Ch6,T. OVER
 25-09-17,23:26:48,Ch6,T. OVER
 25-09-17,23:27:48,Ch6,T. OVER
 25-09-17,23:28:48,Ch6,T. OVER
 25-09-17,23:29:48,Ch6,T. OVER
 25-09-17,23:30:48,Ch6,T. OVER
 25-09-17,23:31:49,Ch6,T. OVER
 25-09-17,23:32:49,Ch6,T. OVER
 25-09-17,23:33:49,Ch6,T. OVER
 25-09-17,23:34:49,Ch6,T. OVER
 25-09-17,23:35:49,Ch6,T. OVER
 25-09-17,23:36:49,Ch6,T. OVER
 25-09-17,23:37:50,Ch6,T. OVER
 25-09-17,23:38:50,Ch6,T. OVER
 25-09-17,23:39:50,Ch6,T. OVER
 25-09-17,23:40:50,Ch6,T. OVER
 25-09-17,23:41:50,Ch6,T. OVER
 25-09-17,23:42:51,Ch6,T. OVER
 25-09-17,23:43:51,Ch6,T. OVER
 25-09-17,23:44:51,Ch6,T. OVER
 25-09-17,23:45:51,Ch6,T. OVER
 25-09-17,23:46:51,Ch6,T. OVER
 25-09-17,23:47:51,Ch6,T. OVER
 25-09-17,23:48:51,Ch6,T. OVER
 25-09-17,23:49:52,Ch6,T. OVER
 25-09-17,23:50:52,Ch6,T. OVER
 25-09-17,23:51:52,Ch6,T. OVER
 25-09-17,23:52:52,Ch6,T. OVER
 25-09-17,23:53:52,Ch6,T. OVER
 25-09-17,23:54:52,Ch6,T. OVER
 25-09-17,23:55:53,Ch6,T. OVER
 25-09-17,23:56:53,Ch6,T. OVER
 25-09-17,23:57:53,Ch6,T. OVER
 25-09-17,23:58:53,Ch6,T. OVER
 25-09-17,23:59:53,Ch6,T. OVER
